Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,Petal Width (cm),Species,MeasurementDate
74,6.1,2.8,4.7,1.2,iris-versicolor ,05-06-2024
19,5.7,3.8,1.7,0.3,Iris-setosa,2024-05-20
119,7.7,2.6,6.9,2.3,Iris-virginica,27/08/2024
79,6.0,2.9,4.5,1.5,Iris-versicolor,2024-06-10
77,6.8,2.8,4.8,1.4,Iris-versicolor,2024-06-08
32,5.4,3.4,1.5,0.4,Iris-setosa,2024-06-02
65,5.6,2.9,3.6,1.3,Iris-versicolor,2024-05-27
141,6.7,3.1,5.6,2.4,Iris-virginica,18/09/2024
69,6.2,2.2,4.5,1.5,versicolor,2024/05/31
83,5.8,2.7,3.9,1.2,Iris-versicolor,2024-06-14
60,5.2,2.7,3.9,1.4,Iris-versicolor,2024-05-22
125,6.7,3.3,5.7,2.1,Iris-virginica,02/09/2024
24,5.1,3.3,1.7,-0.2,setosa,03/09/2024
105,6.5,3.0,5.8,2.2,Iris-virginica,13/08/2024
38,4.9,3.1,1.5,0.1,Iris-setosa,2024-06-08
134,6.3,2.8,5.1,1.5,Iris-virginica,11/09/2024
72,6.1,2.8,4.0,1.3,Iris-versicolor,2024-06-03
98,6.2,2.9,4.3,1.3,Iris-versicolor,2024-06-29
100,5.7,2.8,4.1,1.3,Iris-versicolor,2024-07-01
15,5.8,4.0,1.2,0.2,Iris-setosa,16/05/2024
143,5.8,2.7,5.1,1.9,iris virginica,2024/09/20
68,5.8,2.7,4.1,1.0,Iris-versicolor,2024/05/30
78,6.7,3.0,5.0,1.7,Iris-versicolor,2024-06-09
145,6.7,3.3,5.7,2.5,Iris-virginica,22/09/2024
16,5.7,4.4,1.5,0.4,Iris-setosa,2024/05/17
131,7.4,2.8,6.1,1.9,Iris-virginica,08/09/2024
56,5.7,,4.5,1.3,iris-versicolor ,2024/05/18
114,5.7,2.5,5.0,2.0,Iris-virginica,22/08/2024
117,6.5,3.0,5.5,1.8,Iris-virginica,25/08/2024
67,5.6,3.0,4.5,1.5,Iris-versicolor,2024-05-29
42,4.5,2.3,1.3,0.3,Iris-setosa,2024/06/12
146,6.7,3.0,5.2,2.3,Iris-virginica,2024-09-23
111,6.5,3.2,5.1 cm,2.0,Iris-virginica,19/08/2024
30,4.7,3.2,1.6,0.2,Iris-setosa,2024-05-31
84,6.0,2.7,,1.6,Iris-versicolor,2024-06-15
46,4.8,3.0,1.4,0.3,Iris-setosa,2024-06-16
127,6.2,2.8,4.8,1.8,Iris-virginica,2024-09-04
102,5.8,2.7,5.1,1.9,Iris-virginica,2024-08-10
34,5.5,4.2,1.4,0.2,Iris-setosa,2024/06/04
11,5.4,3.7,1.5,0.2,Iris-setosa,2024/05/12
62,5.9,3.0,4.2,1.5,Iris-versicolor,2024-05-24
148,6.5,3.0,5.2,2.0,Iris-virginica,2024-09-25
110,7.2,3.6,6.1,2.5,Iris-virginica,2024-08-18
2,4.9,3.0,1.4,0.2,Iris-setosa,03/05/2024
126,7.2,3.2,6.0,1.8,Iris-virginica,03/09/2024
29,5.2,3.4,1.4,0.2,Iris-setosa,2024-05-30
147,6.3,2.5,5.0,1.9,Iris-virginica,24/09/2024
118,7.7,3.8,6.7,2.2,Iris-virginica,26/08/2024
12,4.8,3.4,1.6,0.2,Iris-setosa,2024-05-13
33,5.2,4.1,1.5,0.1,Iris-setosa,2024-06-03
91,5.5,2.6,4.4,1.2,Iris-versicolor,2024/06/22
66,6.7,3.1,4.4,1.4,Iris-versicolor,2024-05-28
109,6.7,2.5,5.8,1.8,Iris-virginica,17/08/2024
36,5.0,3.2,1.2,0.2,Iris-setosa,2024-06-06
144,6.8,3.2,5.9,2.3,Iris-virginica,21/09/2024
61,5.0,2.0,3.5,1.0,Iris-versicolor,2024/05/23
54,5.5,2.3,4.0,1.3,Iris-versicolor,2024-05-16
71,5.9,3.2,4.8,1.8,Iris-versicolor,2024-06-02
3,4.7,3.2,1.3,0.2,Iris Setosa,2024/05/04
96,5.7,3.0,4.2,1.2,Iris-versicolor,2024-06-27
47,5.1,3.8,1.6,0.2,Iris-setosa,2024/06/17
137,6.3,3.4,,2.4,Iris-virginica,14/09/2024
51,7.0,3.2,4.7,1.4,Iris-versicolor,2024-05-13
123,7.7,2.8,6.7,2.0,Iris-virginica,31/08/2024
39,4.4,3.0,1.3,0.2,Iris-setosa,2024/06/09
40,5.1,3.4,1.5,0.2,Iris-setosa,2024-06-10
31,4.8,3.1,1.6,0.2,Iris-setosa,2024/06/01
90,5.5,2.5,4.0,1.3,Iris-versicolor,2024-06-21
122,5.6,2.8,4.9,2.0,Iris-virginica,30/08/2024
45,5.1,3.8,1.9,0.4,Iris-setosa,2024-06-15
95,9999,2.7,4.2,1.3,versicolor,2024-06-26
136,7.7,3.0,6.1,2.3,Iris-virginica,13/09/2024
14,4.3,3.0,1.1,0.1,Iris-setosa,2024/05/15
63,6.0,2.2,4.0,1.0,Iris-versicolor,2024/05/25
75,6.4,2.9,4.3,1.3,Iris-versicolor,2024/06/06
113,6.8,3.0,5.5,2.1,Iris-virginica,21/08/2024
6,5.4,3.9,1.7,0.4,Iris-setosa,2024-05-07
49,5.3,3.7,1.5,0.2,Iris-setosa,2024/06/19
106,7.6,3.0,6.6,2.1,Iris-virginica,14/08/2024
142,6.9,3.1,5.1,2.3,Iris-virginica,19/09/2024
53,6.9,3.1,4.9,1.5,Iris-versicolor,2024/05/15
22,5.1,3.7,1.5,0.4,Iris-setosa,2024/05/23
70,5.6,2.5,3.9,1.1,Iris-versicolor,2024-06-01
129,6.4,2.8,5.6,2.1,Iris-virginica,2024-09-06
104,6.3,2.9,5.6,1.8,Iris-virginica,12/08/2024
57,6.3,3.3,4.7,1.6,Iris-versicolor,2024-05-19
99,5.1,2.5,3.0,1.1,Iris-versicolor,2024/06/30
17,5.4,3.9,1.3,0.4,Iris-setosa,2024-05-18
120,6.0,2.2,5.0,1.5,Iris-virginica,28/08/2024
28,5.2,3.5,1.5,0.2,Iris-setosa,2024/05/29
35,4.9,3.1,1.5,0.1,Iris-setosa,2024/06/05
18,5.1,3.5,1.4,0.3,Iris-setosa,2024/05/19
64,6.1,2.9,4.7,1.4,Iris-versicolor,2024-05-26
58,4.9,2.4,3.3,1.0,Iris-versicolor,2024/05/20
133,6.4,2.8,5.6,2.2,Iris-virginica,10/09/2024
89,5.6,3.0,4.1,1.3,Iris-versicolor,2024/06/20
140,6.9,3.1,5.4,2.1,Iris-virginica,17/09/2024
124,6.3,2.7,4.9,1.8,Iris-virginica,01/09/2024
9,4.4,2.9,1.4,0.2,Iris-setosa,2024/05/10
86,6.0,3.4,4.5,1.6,Iris-versicolor,2024/06/17
1,5.1,3.5,1.4,0.2,Iris-setosa,2024-05-02
139,6.0,3.0,4.8,1.8,Iris-virginica,16/09/2024
121,6.9,3.2,5.7,2.3,Iris-virginica,29/08/2024
130,7.2,3.0,5.8,1.6,Iris-virginica,07/09/2024
81,5.5,2.4,3.8,1.1,Iris-versicolor,2024-06-12
93,5.8,2.6,4.0,1.2,Iris-versicolor,2024/06/24
4,4.6,3.1,1.5,0.2,Iris-setosa,2024-05-05
115,5.8,2.8,5.1,2.4,Iris-virginica,23/08/2024
21,5.4,3.4,1.7,0.2,Iris-setosa,2024-05-22
92,6.1,3.0,4.6,1.4,Iris-versicolor,2024-06-23
82,5.5,2.4,3.7,1.0,Iris-versicolor,2024/06/13
138,6.4,3.1,5.5,1.8,Iris-virginica,15/09/2024
37,5.5,3.5,1.3,0.2,Iris-setosa,2024/06/07
55,6.5,2.8,4.6,1.5,Iris-versicolor,2024/05/17
8,5.0,3.4,1.5,0.2,Iris-setosa,2024/05/09
103,7.1,3.0,5.9,2.1,Iris-virginica,11/08/2024
112,6.4,2.7,5.3,1.9,Iris-virginica,20/08/2024
73,6.3,2.5,4.9,1.5,Iris-versicolor,2024/06/04
150,5.9,3.0,5.1,1.8,Iris-virginica,27/09/2024
128,6.1,3.0,4.9,1.8,Iris-virginica,05/09/2024
10,4.9,3.1,1.5,0.1,Iris-setosa,2024-05-11
26,5.0,3.0,1.6,0.2,Iris-setosa,2024-05-27
87,6.7,3.1,4.7,1.5,Iris-versicolor,2024-06-18
43,4.4,3.2,1.3,0.2,Iris-setosa,2024-06-13
76,6.6,3.0,4.4,1.4,Iris-versicolor,2024/06/07
116,6.4,3.2,5.3,2.3,Iris-virginica,24/08/2024
149,6.2,3.4,5.4,2.3,Iris-virginica,26/09/2024
85,5.4,3.0,4.5,1.5,Iris-versicolor,2024-06-16
5,5.0,3.6,1.4,0.2,Iris-setosa,2024/05/06
80,5.7,2.6,3.5,1.0,Iris-versicolor,2024/06/11
20,5.1,3.8,1.5,0.3,Iris-setosa,2024/05/21
44,5.0,3.5,1.6,0.6,Iris-setosa,2024/06/14
97,5.7,2.9,4.2,1.3,Iris-versicolor,2024/06/28
107,4.9,2.5,4.5,1.7,virginica,15/08/2024
135,6.1,2.6,5.6,1.4,Iris-virginica,12/09/2024
59,6.6,2.9,4.6,1.3,Iris-versicolor,2024-05-21
50,5.0,3.3,1.4,0.2,Iris-setosa,2024-06-20
94,5.0,2.3,3.3,1.0,Iris-versicolor,2024-06-25
7,4.6,3.4,1.4,0.3,Iris-setosa,08/05/2024
27,5.0,3.4,1.6,0.4,Iris-setosa,2024/05/28
88,6.3,2.3,4.4,1.3,Iris-versicolor,2024-06-19
108,7.3,2.9,6.3,1.8,Iris-virginica,16/08/2024
132,7.9,3.8,6.4,2.0,Iris-virginica,09/09/2024
41,5.0,3.5,1.3,0.3,Iris-setosa,2024-06-11
101,6.3,3.3,6.0,2.5,Iris-virginica,2024-08-09
45,5.1,3.8,1.9,0.4,Iris-setosa,2024-06-15
13,4.8,3.0,1.4,0.1,Iris-setosa,2024/05/14
120,6.0,2.2,5.0,1.5,Iris-virginica,28/08/2024
48,4.6,3.2,1.4,0.2,Iris-setosa,2024-06-18
23,4.6,3.6,1.0,0.2,Iris-setosa,2024-05-24
25,4.8,3.4,1.9,0.2,Iris-setosa,2024-05-26
52,6.4,3.2,4.5,1.5,Iris-versicolor,2024/05/14
56,5.7,,4.5,1.3,iris-versicolor ,2024/05/18
87,6.7,3.1,4.7,1.5,Iris-versicolor,2024-06-18